log_evidence_values,error,time
-4.720951831024046,0.329920861357374,2.559023857116699
-11.19270618066424,0.44092532955242336,5.89438271522522
-17.908591722566907,0.5220975144999704,10.772580623626709
-24.727135846082437,0.586979873619456,17.06519842147827
-31.117013983033925,0.6714426791828697,24.67139172554016
-37.86591307032051,0.732500869756978,33.588045835494995
-44.51389010494192,0.8154030546636625,43.915313720703125
-50.786138983979654,0.877323941902263,55.30210757255554
-57.14898286884058,0.9448488910141566,66.98223853111267
-63.465624377890975,1.0134000688012712,80.32125210762024
