log_evidence_values,error,time
-4.599937760774822,0.3307674828748642,2.9027397632598877
-11.02341043380228,0.4403413460779779,7.452418804168701
-17.23236702831102,0.5167184259247432,12.968324661254883
-23.943867923639004,0.6000437334242136,20.943490266799927
-30.257998106432538,0.6620265332366104,30.14848804473877
-36.64803681057271,0.731689243460961,43.17572569847107
-43.076768446955214,0.7868523171246511,58.14992547035217
-48.90550134364336,0.8613074177245486,75.3236403465271
-55.06487354115588,0.9217383212404012,99.84187054634094
-60.94759531928459,0.9679723114455479,124.92566561698914
