log_evidence_values,error,time
-4.720951831024046,0.329920861357374,2.5214552879333496
-11.19270618066424,0.44092532955242336,6.076883792877197
-17.908591722566907,0.5220975144999704,12.258476257324219
-24.727135846082437,0.586979873619456,18.135212421417236
-31.117013983033925,0.6714426791828697,25.67322015762329
-37.86591307032051,0.732500869756978,33.73418927192688
-44.51389010494192,0.8154030546636625,45.06268930435181
-50.786138983979654,0.877323941902263,56.619856119155884
-57.14898286884058,0.9448488910141566,71.0269660949707
-63.465624377890975,1.0134000688012712,86.83766770362854
-69.87510605242421,1.0805904376859519,103.85562562942505
