log_evidence_values,error,time
-4.599937760774822,0.3307674828748642,3.0336010456085205
-11.02341043380228,0.4403413460779779,8.404847383499146
-17.23236702831102,0.5167184259247432,15.202818632125854
-23.943867923639004,0.6000437334242136,23.67052125930786
-30.257998106432538,0.6620265332366104,36.00038480758667
-36.64803681057271,0.731689243460961,47.99073839187622
-43.076768446955214,0.7868523171246511,62.337626218795776
-48.90550134364336,0.8613074177245486,85.49248147010803
-55.06487354115588,0.9217383212404012,112.74782085418701
-60.94759531928459,0.9679723114455479,140.43293452262878
-66.91412373244138,1.0432740330177068,172.6939082145691
